iter	Passed	Remaining
0	1	170
1	3	151
2	4	142
3	5	133
4	7	133
5	8	130
6	9	127
7	10	126
8	12	125
9	13	124
10	15	122
11	16	120
12	17	118
13	19	116
14	20	115
15	21	113
16	23	113
17	24	111
18	26	112
19	27	111
20	29	110
21	30	108
22	31	106
23	33	104
24	34	103
25	35	101
26	37	100
27	38	98
28	39	97
29	41	95
30	42	94
31	45	96
32	46	94
33	47	92
34	49	91
35	50	89
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	59	78
43	60	76
44	62	75
45	63	74
46	64	73
47	66	71
48	67	70
49	68	68
50	70	67
51	71	66
52	72	64
53	74	63
54	75	61
55	76	60
56	77	58
57	80	57
58	81	56
59	82	55
60	84	53
61	85	52
62	87	51
63	88	49
64	89	48
65	91	47
66	92	45
67	94	44
68	95	42
69	97	41
70	98	40
71	100	38
72	101	37
73	102	36
74	104	34
75	105	33
76	106	31
77	108	30
78	109	29
79	111	27
80	112	26
81	113	24
82	115	23
83	117	22
84	118	20
85	119	19
86	121	18
87	122	16
88	124	15
89	125	13
90	126	12
91	128	11
92	129	9
93	130	8
94	132	6
95	134	5
96	135	4
97	136	2
98	138	1
99	139	0
