iter	Passed	Remaining
0	158	158243
1	160	80130
2	162	53874
3	164	41060
4	170	33982
5	180	29944
6	182	25921
7	185	23035
8	190	20943
9	192	19047
10	199	17957
11	201	16583
12	203	15474
13	207	14603
14	210	13824
15	214	13165
16	215	12481
17	218	11938
18	221	11446
19	223	10956
20	226	10572
21	228	10162
22	230	9790
23	231	9434
24	235	9188
25	239	8964
26	241	8709
27	245	8533
28	247	8300
29	250	8099
30	252	7899
31	254	7693
32	255	7501
33	257	7318
34	259	7144
35	260	6986
36	263	6861
37	265	6720
38	267	6582
39	268	6447
40	270	6320
41	275	6281
42	278	6194
43	280	6094
44	282	6002
45	284	5907
46	287	5821
47	288	5729
48	290	5642
49	293	5577
50	299	5580
51	302	5507
52	304	5431
53	306	5361
54	308	5297
55	310	5237
56	312	5169
57	315	5118
58	317	5062
59	325	5102
60	327	5043
61	329	4983
62	331	4924
63	334	4887
64	336	4843
65	338	4796
66	341	4749
67	342	4700
68	344	4652
69	346	4607
70	349	4568
71	351	4531
72	356	4523
73	358	4489
74	360	4449
75	362	4408
76	364	4367
77	366	4330
78	367	4289
79	369	4251
80	371	4211
81	373	4176
82	374	4132
83	376	4102
84	378	4069
85	379	4038
86	381	4008
87	384	3982
88	386	3953
89	387	3921
90	389	3893
91	391	3862
92	393	3832
93	394	3803
94	396	3778
95	398	3751
96	400	3725
97	401	3698
98	403	3672
99	405	3646
100	406	3619
101	408	3594
102	409	3569
103	411	3545
104	413	3522
105	414	3500
106	416	3477
107	418	3454
108	419	3433
109	421	3411
110	423	3389
111	424	3368
112	426	3348
113	428	3329
114	430	3309
115	431	3289
116	432	3267
117	434	3249
118	445	3301
119	447	3283
120	449	3268
121	451	3248
122	453	3231
123	455	3215
124	456	3197
125	462	3207
126	463	3187
127	465	3171
128	467	3154
129	469	3138
130	471	3127
131	473	3112
132	475	3098
133	477	3083
134	478	3068
135	480	3052
136	488	3074
137	489	3059
138	491	3043
139	492	3027
140	494	3011
141	495	2993
142	497	2979
143	498	2964
144	500	2949
145	502	2936
146	503	2924
147	505	2911
148	507	2899
149	509	2889
150	511	2877
151	513	2865
152	515	2852
153	516	2839
154	518	2826
155	520	2813
156	521	2800
157	523	2791
158	525	2779
159	527	2767
160	528	2751
161	529	2739
162	531	2726
163	532	2715
164	534	2703
165	536	2693
166	537	2682
167	539	2670
168	540	2658
169	542	2647
170	543	2637
171	545	2625
172	546	2614
173	548	2604
174	550	2594
175	551	2583
176	553	2573
177	555	2563
178	556	2552
179	558	2542
180	559	2532
181	561	2522
182	563	2513
183	566	2513
184	568	2503
185	569	2493
186	571	2483
187	573	2474
188	574	2466
189	576	2458
190	578	2448
191	579	2439
192	581	2433
193	583	2424
194	585	2415
195	586	2407
196	588	2398
197	590	2393
198	592	2384
199	593	2375
200	595	2366
201	597	2358
202	598	2350
203	600	2341
204	601	2333
205	603	2326
206	605	2319
207	607	2312
208	609	2304
209	610	2297
210	612	2290
211	614	2282
212	615	2275
213	617	2269
214	619	2261
215	620	2253
216	622	2246
217	624	2238
218	625	2231
219	627	2223
220	628	2216
221	630	2209
222	632	2202
223	633	2195
224	635	2188
225	637	2181
226	638	2175
227	640	2169
228	642	2162
229	644	2157
230	646	2151
231	647	2144
232	649	2138
233	651	2132
234	652	2125
235	654	2118
236	656	2112
237	657	2106
238	659	2099
239	660	2093
240	662	2086
241	664	2079
242	665	2073
243	667	2067
244	669	2062
245	671	2056
246	672	2051
247	674	2045
248	676	2040
249	678	2034
250	679	2028
251	681	2022
252	682	2015
253	684	2010
254	686	2004
255	687	1998
256	689	1992
257	690	1986
258	692	1980
259	693	1974
260	695	1968
261	697	1963
262	698	1957
263	700	1951
264	701	1946
265	703	1940
266	704	1934
267	706	1928
268	707	1922
269	708	1916
270	710	1911
271	712	1906
272	713	1900
273	715	1894
274	716	1889
275	718	1884
276	719	1878
277	721	1873
278	722	1868
279	725	1866
280	727	1862
281	729	1857
282	730	1851
283	732	1846
284	733	1841
285	735	1835
286	736	1830
287	738	1825
288	740	1820
289	741	1815
290	742	1810
291	744	1804
292	745	1799
293	747	1794
294	748	1788
295	750	1784
296	751	1779
297	753	1774
298	754	1769
299	756	1764
300	757	1759
301	759	1754
302	760	1750
303	762	1745
304	764	1741
305	765	1736
306	767	1732
307	768	1727
308	770	1722
309	771	1717
310	773	1713
311	774	1708
312	776	1703
313	777	1699
314	779	1694
315	780	1690
316	782	1685
317	783	1680
318	785	1676
319	786	1672
320	788	1667
321	789	1663
322	791	1659
323	793	1655
324	794	1651
325	796	1647
326	798	1644
327	800	1640
328	802	1637
329	805	1636
330	807	1631
331	808	1627
332	810	1622
333	811	1619
334	813	1614
335	814	1609
336	815	1605
337	817	1601
338	819	1597
339	820	1592
340	821	1588
341	823	1583
342	824	1578
343	825	1574
344	827	1570
345	828	1565
346	829	1561
347	832	1559
348	834	1555
349	835	1551
350	837	1548
351	838	1544
352	840	1540
353	841	1536
354	843	1531
355	846	1532
356	848	1528
357	850	1525
358	852	1521
359	853	1517
360	855	1513
361	856	1510
362	858	1507
363	860	1503
364	862	1499
365	863	1496
366	865	1492
367	866	1488
368	868	1484
369	869	1481
370	871	1477
371	873	1474
372	874	1470
373	876	1466
374	877	1463
375	879	1459
376	880	1455
377	882	1451
378	883	1448
379	885	1444
380	886	1441
381	888	1437
382	889	1433
383	891	1430
384	893	1426
385	894	1423
386	896	1419
387	897	1416
388	899	1412
389	901	1409
390	902	1405
391	904	1402
392	905	1398
393	907	1395
394	908	1391
395	910	1388
396	911	1385
397	913	1381
398	915	1378
399	916	1374
400	918	1371
401	920	1368
402	921	1365
403	923	1362
404	925	1359
405	926	1355
406	928	1352
407	930	1349
408	931	1346
409	933	1342
410	934	1339
411	936	1336
412	938	1333
413	939	1330
414	941	1326
415	942	1323
416	944	1320
417	945	1317
418	947	1313
419	949	1310
420	950	1307
421	952	1304
422	954	1301
423	955	1298
424	957	1295
425	959	1292
426	960	1289
427	962	1286
428	964	1283
429	966	1280
430	968	1278
431	969	1275
432	971	1272
433	972	1268
434	974	1265
435	975	1262
436	977	1258
437	979	1256
438	980	1253
439	982	1249
440	983	1246
441	985	1243
442	986	1240
443	987	1237
444	989	1233
445	990	1230
446	993	1228
447	994	1225
448	996	1222
449	997	1219
450	999	1216
451	1000	1213
452	1001	1209
453	1003	1206
454	1004	1203
455	1006	1200
456	1008	1197
457	1009	1194
458	1011	1191
459	1012	1188
460	1013	1185
461	1015	1182
462	1016	1179
463	1018	1176
464	1019	1173
465	1021	1170
466	1022	1166
467	1023	1164
468	1025	1160
469	1026	1157
470	1028	1154
471	1029	1151
472	1031	1148
473	1032	1145
474	1034	1142
475	1035	1140
476	1037	1137
477	1038	1133
478	1039	1130
479	1041	1127
480	1042	1124
481	1043	1121
482	1045	1119
483	1047	1116
484	1048	1113
485	1050	1110
486	1051	1107
487	1052	1104
488	1054	1101
489	1055	1098
490	1057	1096
491	1058	1093
492	1060	1090
493	1061	1087
494	1063	1084
495	1064	1081
496	1065	1078
497	1067	1075
498	1068	1072
499	1069	1069
500	1071	1067
501	1073	1064
502	1074	1061
503	1075	1058
504	1077	1056
505	1078	1053
506	1080	1050
507	1081	1047
508	1083	1044
509	1084	1042
